,Unnamed: 0,Election_Type,State_Name,Assembly_No,Constituency_No,Year,month,Position,Candidate,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Turnout_Percentage,Vote_Share_Percentage,Margin,Margin_Percentage,Party_ID,MyNeta_education
7060,7060,GE,uttar_pradesh,16,7,2014,4.0,13,akbarmasood,M,IND,817,GEN,956389,1616972,rampur,59.15,0.09,0,0.0,10809,Post Graduate
8045,8045,GE,uttar_pradesh,16,65,2014,4.0,11,akhand,M,AAAP,3802,GEN,950446,1680992,kushi_nagar,56.54,0.4,172,0.02,13,Graduate
4840,4840,GE,nagaland,16,1,2014,4.0,3,akheiachumi,M,SP(I),9695,ST,1038910,1182972,nagaland,87.82,0.93,6999,0.67,8030,Graduate
1000,1000,GE,bihar,16,27,2014,4.0,11,akhilbhartiyasharma,M,IND,4721,GEN,899353,1549456,banka,58.04,0.52,309,0.03,10809,Graduate Professional
7995,7995,GE,uttar_pradesh,16,63,2014,4.0,3,akhilesh,M,SP,213974,GEN,1056078,1743131,maharajganj,60.59,20.26,156781,14.85,7425,Graduate
7472,7472,GE,uttar_pradesh,16,33,2014,4.0,8,akhileshkumar,M,CPIM,5128,SC,1201603,2164392,unnao,55.52,0.43,502,0.04,2560,Literate
791,791,GE,bihar,16,15,2014,4.0,2,akhileshpdsingh,M,INC,246873,GEN,948887,1551363,muzaffarpur,61.16,26.02,161733,17.04,3482,Doctorate
3437,3437,GE,madhya_pradesh,16,3,2014,4.0,5,akhileshyadav,M,CPM,10297,GEN,990912,1876965,gwalior,52.79,1.04,4970,0.5,14635,Graduate
712,712,GE,bihar,16,10,2014,4.0,3,akhtaruliman,M,JD(U),55822,GEN,928490,1438990,kishanganj,64.52,6.01,38616,4.16,11002,Post Graduate
216,216,GE,andhra_pradesh,16,14,2014,4.0,4,akkireddybhimanadula,M,PPOI,7032,GEN,1282058,1514861,narasaraopet,84.63,0.55,1047,0.08,6298,10th Pass
2501,2501,GE,jharkhand,16,7,2014,4.0,14,aklurammahto,M,SP,4169,GEN,1143902,1890021,dhanbad,60.52,0.36,355,0.03,7425,Post Graduate
7319,7319,GE,uttar_pradesh,16,23,2014,4.0,3,akmalkhanurfchaman,M,BSP,156973,GEN,1027594,1769145,badaun,58.08,15.28,150687,14.66,16651,Literate
1364,1364,GE,chhattisgarh,16,7,2014,4.0,19,akmohan,M,AITC,2284,GEN,1258342,1858922,durg,67.69,0.18,125,0.01,18228,10th Pass
5990,5990,GE,tamil_nadu,16,12,2014,4.0,3,akmoorthy,M,PMK,253332,GEN,1096046,1369668,arani,80.02,23.11,225615,20.58,11891,Post Graduate
4629,4629,GE,maharashtra,16,39,2014,,9,akpandharinath,,IND,6733,,1298249,1792652,beed,72.42,0.52,752,0.06,10809,
2825,2825,GE,karnataka,16,13,2014,4.0,6,akparashuramakotemallur,M,BSP,5581,SC,1114868,1522712,davanagere,73.22,0.5,1045,0.09,16651,12th Pass
2912,2912,GE,karnataka,16,19,2014,4.0,3,akrishnappa,M,JD(S),258683,GEN,1101484,1518518,tumkur,72.54,23.48,245749,22.31,10979,Graduate
3351,3351,GE,kerala,16,18,2014,4.0,4,aksalahudeen,M,SDPI,12812,GEN,879056,1219415,kollam,72.09,1.46,4936,0.56,7985,12th Pass
