,Candidate,Party,CriminalCases,Education,Age,Gender,TotalAssets,Liabilities,Winner,State,Constituency,Year,Category,Votes,ValidVotes,VoteSharePercentage,PartyID
0,shribishnupadaray,BJP,1,Graduate,59,M,1241034.0,0,1,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2009,GEN,75211,170103,44.21,1605
1,shrikuldeepraisharma,INC,1,Graduate Professional,41,M,5409630.0,10374,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2009,GEN,72221,170103,42.46,3482
2,shrimsmohan,BSP,0,10th Pass,50,M,5452500.0,300000,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2009,GEN,789,170103,0.46,16651
3,shrinkpnair,CPI(ML)(L),0,10th Pass,54,M,1488456.0,62000,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2009,GEN,734,170103,0.43,2472
4,shripradeepkumarekka,JDP,0,Others,37,M,410000.0,0,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2009,GEN,1785,170103,1.05,11044
5,shriprganeshan,RJD,0,Not Given,71,M,329563.0,0,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2009,GEN,4916,170103,2.89,12103
6,shritali,IND,0,12th Pass,37,M,445957.0,296000,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2009,GEN,398,170103,0.23,10809
7,shritapankumarbepari,CPM,0,Post Graduate,52,M,3986000.0,0,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2009,GEN,7190,170103,4.23,14635
8,shrivakiathvalappilkhalid,IND,0,8th Pass,41,M,57000.0,48362,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2009,GEN,1480,170103,0.87,10809
9,rameshrathod,TDP,2,12th Pass,43,M,3410000.0,815241,1,andhra_pradesh,adilabad,2009,ST,372268,863581,43.11,8300
10,adetukaram,BJP,0,10th Pass,55,M,865000.0,370000,0,andhra_pradesh,adilabad,2009,ST,57931,863581,6.71,1605
11,kotnakramesh,INC,0,12th Pass,39,M,2600000.0,0,0,andhra_pradesh,adilabad,2009,ST,257181,863581,29.78,3482
12,rathodsadashivnaik,BSP,0,Graduate,50,M,1150000.0,0,0,andhra_pradesh,adilabad,2009,ST,16471,863581,1.91,16651
13,gvharshakumar,INC,1,Post Graduate,50,M,7289000.0,1014298,1,andhra_pradesh,amalapuram,2009,SC,368501,1023765,35.99,3482
