,Unnamed: 0,Sno,Candidate,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,State,Constituency,Year
1033,1033,1034,mahendraprasad,RPP,0,Doctorate,63,669318.0,609494,0,bihar,muzaffarpur,2009
6311,6311,6312,mahendraprasadnishad,BSP,0,Graduate,37,5423876.0,252952,0,uttar_pradesh,fatehpur,2009
3485,3485,3486,mahendrarmohite,IND,0,10th Pass,43,,0,0,maharashtra,bhiwandi,2009
5006,5006,5007,mahendrasingh,LJP,0,8th Pass,31,22000.0,0,0,rajasthan,rajsamand,2009
4993,4993,4994,mahendrasingh,IND,1,12th Pass,43,12481500.0,200000,0,rajasthan,pali,2009
7125,7125,7126,mahendrasinghverma,SP,4,12th Pass,58,11785323.0,0,0,uttar_pradesh,sitapur,2009
1781,1781,1782,mahendrasinhpadamsinhsonagrachauhan,IND,0,12th Pass,36,689000.0,0,0,gujarat,sabarkantha,2009
1774,1774,1775,mahendrasinhpruthvisinhchauhan,BJP,0,Graduate Professional,55,8842370.0,161190,1,gujarat,sabarkantha,2009
3706,3706,3707,mahendratukaramahire,IND,0,12th Pass,41,1376703.0,1226000,0,maharashtra,mumbai_north,2009
4742,4742,4743,mahendravyas,BSP,0,Graduate,57,58429766.0,463595,0,rajasthan,barmer,2009
6364,6364,6365,mahesh,IND,0,12th Pass,40,28969560.0,1495000,0,uttar_pradesh,gautam_budhha_nagar,2009
7038,7038,7039,mahesh,IND,0,Illiterate,70,510000.0,0,0,uttar_pradesh,salempur,2009
1763,1763,1764,maheshbhaihirabhaiharsoda,IND,0,Literate,25,340925.0,62000,0,gujarat,rajkot,2009
7231,7231,7232,maheshchandrakandpal,IND,0,Not Given,56,,0,0,uttarakhand,nainital-udhamsingh_nagar,2009
6619,6619,6620,maheshchandrasharma,IND,0,Post Graduate,65,3812000.0,0,0,uttar_pradesh,kanpur,2009
3225,3225,3226,maheshjatav,IND,0,Graduate,32,36000.0,0,0,madhya_pradesh,morena,2009
4840,4840,4841,maheshjoshi,INC,0,Doctorate,54,10388500.0,1245000,1,rajasthan,jaipur,2009
5025,5025,5026,maheshkumar,IND,4,Post Graduate,29,405000.0,0,0,rajasthan,sikar,2009
6365,6365,6366,maheshkumarsharma,BJP,1,Graduate Professional,48,158575632.0,20953174,0,uttar_pradesh,gautam_budhha_nagar,2009
7095,7095,7096,maheshpalsingh,IND,0,10th Pass,32,501100.0,0,0,uttar_pradesh,shahjahanpur,2009
1641,1641,1642,maheshparsottambhaivadi,IND,0,8th Pass,30,1675000.0,0,0,gujarat,jamnagar,2009
5879,5879,5880,maheshpratapsharma,RVP,0,Graduate,54,7155500.0,0,0,uttar_pradesh,aligarh,2009
720,720,721,maheshram,IND,0,Graduate,45,50000.0,0,0,bihar,arrah,2009
3727,3727,3728,maheshramjethmalani,BJP,0,Post Graduate,52,140883807.0,4150000,0,maharashtra,mumbai_north_central,2009
4095,4095,4096,maheshrathichanakya,RVNP,0,Graduate,49,4927000.0,2800,0,maharashtra,thane,2009
6945,6945,6946,maheshsaxena,IND,0,12th Pass,51,3700000.0,0,0,uttar_pradesh,pilibhit,2009
3226,3226,3227,maheshsinghjatav,IND,0,8th Pass,29,880000.0,0,0,madhya_pradesh,morena,2009
848,848,849,maheshwardas,BSP,0,Graduate Professional,54,2066000.0,0,0,bihar,hajipur,2009
2057,2057,2058,maheshwarsingh,BJP,0,12th Pass,61,27781060.0,0,0,himachal_pradesh,mandi,2009
5452,5452,5453,maheswarann,DMDK,0,Graduate Professional,30,9199000.0,3139,0,tamil_nadu,namakkal,2009
5553,5553,5554,maheswaranv,IND,0,Graduate Professional,28,30000.0,0,0,tamil_nadu,salem,2009
4421,4421,4422,maheswarbhoi,IND,0,8th Pass,36,363000.0,0,0,orissa,kalahandi,2009
1157,1157,1158,maheswerhazari,JD(U),0,Post Graduate,38,6964921.0,1054356,1,bihar,samastipur,2009
6312,6312,6313,mahfazulhakaliasrajukhan,IND,0,12th Pass,38,332100.0,0,0,uttar_pradesh,fatehpur,2009
4612,4612,4613,mahindersinghhamira,IND,0,5th Pass,43,1041971.0,0,0,punjab,hoshiarpur,2009
1574,1574,1575,mahipatbhaimaganbhailad,IND,0,10th Pass,53,910783.0,0,0,gujarat,bharuch,2009
6040,6040,6041,maikoolal,IND,0,5th Pass,63,1959600.0,0,0,uttar_pradesh,bahraich,2009
7126,7126,7127,maikulal,BSRD,0,Not Given,45,200000.0,0,0,uttar_pradesh,sitapur,2009
7397,7397,7398,mainuddinchisty,IND,0,Graduate Professional,51,815587.0,0,0,west_bengal,diamond_harbour,2009
265,265,266,majabbar,IND,0,Not Given,39,,0,0,andhra_pradesh,mahbubnagar,2009
4504,4504,4505,majorgsgill,RRD,0,Graduate,61,3540000.0,50000,0,punjab,amritsar,2009
4258,4258,4259,majorsangeetatomar,YFE,0,Post Graduate,40,7239743.0,2928091,0,national_capital_territory_of_delhi,new_delhi,2009
4010,4010,4011,makbulfaridsk,IND,0,Literate,36,11000.0,45000,0,maharashtra,raver,2009
