,Party,CriminalCases,Education,Age,Gender,TotalAssets,Liabilities,Winner,State,Constituency,Category
297,8,0,11,68,1,4685783.0,1440000,0,6,104,0
298,7,0,0,36,1,13570606.0,248000,0,4,396,0
299,8,0,5,52,1,14504590.0,2538160,0,33,78,0
300,8,0,10,68,1,4150000.0,0,0,35,38,0
301,8,0,11,57,1,26301000.0,0,0,1,26,0
302,2,0,6,54,1,45224706.0,2883233,1,15,58,0
303,7,0,11,43,1,1750000.0,400000,0,31,455,0
304,2,0,1,46,1,32367360.0,15139611,1,15,518,0
305,7,0,0,67,1,9014000.0,0,0,18,139,2
306,3,0,11,25,1,1265000.0,0,0,35,239,2
307,7,0,6,38,1,436200.0,0,0,30,505,0
308,7,0,0,50,1,1276450.0,190000,0,30,500,0
309,7,0,11,49,1,1070799.0,0,0,30,120,0
310,7,0,11,70,1,6300000.0,0,0,30,403,0
311,7,0,1,29,0,1301000.0,0,0,30,148,0
312,8,8,6,45,1,314378451.0,41941065,1,30,148,0
313,7,0,6,37,1,5831644.0,2900000,0,30,131,0
314,8,0,11,39,0,5760417.0,1564210,0,18,515,2
315,8,1,0,46,1,4005014.0,0,0,14,234,0
316,3,2,6,43,1,179440000.0,5750000,0,4,458,0
317,7,0,1,44,1,3257000.0,241000,0,30,148,0
318,7,0,1,40,1,1594367.0,104944,0,33,342,0
319,8,0,8,38,1,305538.0,0,0,33,1,0
320,7,0,2,32,1,18036000.0,0,0,11,303,2
321,0,0,5,41,1,969443.0,0,0,33,264,0
322,7,2,4,40,1,4619004.0,229300,0,3,181,0
323,7,6,5,55,1,33340000.0,163597,0,19,4,0
324,7,0,6,32,1,25000.0,0,0,13,512,0
325,7,0,0,51,1,2100000.0,0,0,33,517,2
326,8,0,5,46,1,11618500.0,0,0,4,191,0
327,7,0,1,27,1,40000.0,0,0,16,496,0
328,7,0,11,48,1,199542.0,0,0,4,401,2
329,8,4,1,48,1,55427000.0,7522794,0,33,46,0
330,7,0,5,46,1,1412100.0,0,0,33,174,2
331,8,0,0,35,1,90000.0,0,0,33,200,0
332,8,0,6,49,1,4662600.0,518000,0,33,357,0
333,8,0,0,38,1,2992554.0,201420,0,28,224,2
334,8,0,0,27,1,10875000.0,0,0,11,476,2
335,7,0,3,44,1,72000.0,0,0,16,164,0
336,7,0,1,40,1,680050.0,0,0,33,517,0
337,8,2,5,49,1,28598975.0,1492925,0,10,91,3
338,7,0,5,48,1,51621298.0,1717547,0,13,512,0
339,8,0,0,30,1,681406.0,0,0,4,413,0
340,3,0,4,42,1,70611507.0,25547824,0,33,114,0
341,8,0,0,52,1,539375.0,52000,0,33,517,0
342,3,1,1,45,1,433000.0,0,0,16,40,0
343,7,0,0,45,1,3490000.0,25000,0,14,118,3
344,7,0,5,38,1,900000.0,0,0,33,320,0
345,8,0,5,30,1,75100.0,0,0,28,223,0
346,8,0,6,50,1,4900000.0,0,0,33,44,0
347,8,1,4,50,1,8498803720.0,1095393904,0,4,222,0
348,7,0,0,38,1,2536000.0,0,0,33,238,0
349,8,0,1,42,1,23846000.0,0,0,4,415,0
350,7,0,10,33,1,774819.0,1252161,0,15,461,0
351,8,0,6,28,1,507000.0,250000,0,18,515,2
352,2,2,5,63,1,227615279.0,4781007,1,19,411,0
353,8,0,11,62,1,14718234.0,0,0,18,217,0
354,8,0,1,41,1,586000.0,800,0,4,317,0
355,7,0,1,42,1,8569000.0,0,0,16,216,0
356,8,0,0,31,0,489000.0,0,0,33,1,2
357,6,0,5,58,0,7268903.0,0,0,35,243,3
358,9,0,5,38,0,15514000.0,10000,0,18,94,2
359,7,0,6,46,0,4700000.0,0,0,28,5,0
360,0,1,5,48,0,5471073.0,6000,0,0,28,0
361,7,0,3,35,0,10500.0,0,0,19,366,3
362,9,0,8,40,0,177295204.0,316824,0,34,202,0
363,8,0,6,45,0,193161591.0,1399670,0,19,366,0
364,6,0,1,64,1,658610000.0,202559600,0,28,230,0
365,7,0,5,28,1,687000.0,400000,0,31,328,0
366,7,0,6,56,1,25000.0,0,0,14,433,0
367,8,0,5,51,1,1837958.0,0,0,35,184,2
368,8,0,6,41,0,989068.0,0,1,33,171,0
