,Unnamed: 0,Election_Type,State_Name,Constituency_Name,Assembly_No,Constituency_No,Year,month,Position,Candidate,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,Turnout_Percentage,Vote_Share_Percentage,Margin,Margin_Percentage,Party_ID,MyNeta_education
5605,5605,GE,tamil_nadu,thiruvallur,17,1,2019,4,7,ranbuchezhian,M,BSP,15187,SC,1408189,1946870,72.33,1.08,11025,0.78,16651,12th Pass
5606,5606,GE,tamil_nadu,thiruvallur,17,1,2019,4,8,ckalanithi,M,ACDP,4162,SC,1408189,1946870,72.33,0.3,977,0.07,24932,Graduate
5607,5607,GE,tamil_nadu,thiruvallur,17,1,2019,4,9,murugesan,M,IND,3185,SC,1408189,1946870,72.33,0.23,59,0.0,10809,8th Pass
5608,5608,GE,tamil_nadu,thiruvallur,17,1,2019,4,10,amanikandan,M,IND,3126,SC,1408189,1946870,72.33,0.22,758,0.05,10809,12th Pass
5609,5609,GE,tamil_nadu,thiruvallur,17,1,2019,4,11,vijayar,F,IND,2368,SC,1408189,1946870,72.33,0.17,391,0.03,10809,Illiterate
5610,5610,GE,tamil_nadu,thiruvallur,17,1,2019,4,12,cbharath,M,IND,1977,SC,1408189,1946870,72.33,0.14,35,0.0,10809,Graduate Professional
5611,5611,GE,tamil_nadu,thiruvallur,17,1,2019,4,13,nvikraman,M,IND,1942,SC,1408189,1946870,72.33,0.14,182,0.01,10809,Post Graduate
5612,5612,GE,tamil_nadu,thiruvallur,17,1,2019,4,14,dravipariyanar,M,RPI(A),1760,SC,1408189,1946870,72.33,0.12,852,0.06,12285,10th Pass
5613,5613,GE,tamil_nadu,thiruvallur,17,1,2019,4,15,vgunasekaran,M,IND,908,SC,1408189,1946870,72.33,0.06,36,0.0,10809,8th Pass
5614,5614,GE,tamil_nadu,thiruvallur,17,1,2019,4,16,garulraj,M,IND,872,SC,1408189,1946870,72.33,0.06,83,0.01,10809,Post Graduate
5615,5615,GE,tamil_nadu,thiruvallur,17,1,2019,4,17,danandaraj,M,IND,789,SC,1408189,1946870,72.33,0.06,27,0.0,10809,12th Pass
5616,5616,GE,tamil_nadu,thiruvallur,17,1,2019,4,18,kchandrasekar,M,IND,762,SC,1408189,1946870,72.33,0.05,34,0.0,10809,Graduate Professional
5617,5617,GE,tamil_nadu,thiruvallur,17,1,2019,4,19,ggeorge,M,IND,728,SC,1408189,1946870,72.33,0.05,5,0.0,10809,Graduate
5618,5618,GE,tamil_nadu,thiruvallur,17,1,2019,4,20,ssargunam,M,IND,723,SC,1408189,1946870,72.33,0.05,18,0.0,10809,Graduate Professional
5619,5619,GE,tamil_nadu,thiruvallur,17,1,2019,4,21,kkamalanathan,M,IND,705,SC,1408189,1946870,72.33,0.05,0,0.0,10809,Not Given
5620,5620,GE,tamil_nadu,chennai_north,17,2,2019,4,1,drkalanidhiveeraswamy,M,DMK,590986,GEN,955545,1487681,64.23,61.85,461518,48.3,10192,Post Graduate
5621,5621,GE,tamil_nadu,chennai_north,17,2,2019,4,2,alagaapuramrmohanraj,M,DMDK,129468,GEN,955545,1487681,64.23,13.55,26301,2.75,2956,12th Pass
5622,5622,GE,tamil_nadu,chennai_north,17,2,2019,4,3,agmourya,M,MNM,103167,,955545,1487681,64.23,10.8,42652,4.46,24404,Post Graduate
5623,5623,GE,tamil_nadu,chennai_north,17,2,2019,4,4,kaliyammalp,F,NTK,60515,,955545,1487681,64.23,6.33,27238,2.85,5533,Graduate
5624,5624,GE,tamil_nadu,chennai_north,17,2,2019,4,5,psanthanakrishnan,M,IND,33277,,955545,1487681,64.23,3.48,17590,1.84,10809,10th Pass
5625,5625,GE,tamil_nadu,chennai_north,17,2,2019,4,6,nota,,NOTA,15687,,955545,1487681,64.23,1.64,11267,1.18,5897,
5626,5626,GE,tamil_nadu,chennai_north,17,2,2019,4,7,srobertgnanasekar,M,BSP,4420,,955545,1487681,64.23,0.46,1751,0.18,16651,Post Graduate
5627,5627,GE,tamil_nadu,chennai_north,17,2,2019,4,8,kamesh,M,TNLK,2669,,955545,1487681,64.23,0.28,210,0.02,24405,Graduate
5628,5628,GE,tamil_nadu,chennai_north,17,2,2019,4,9,sselvaraj,M,IND,2459,,955545,1487681,64.23,0.26,782,0.08,10809,Graduate Professional
5629,5629,GE,tamil_nadu,chennai_north,17,2,2019,4,10,gsrinivasan,M,IND,1677,,955545,1487681,64.23,0.18,216,0.02,10809,Post Graduate
5630,5630,GE,tamil_nadu,chennai_north,17,2,2019,4,11,sganesh,M,IND,1461,,955545,1487681,64.23,0.15,345,0.04,10809,Graduate Professional
5631,5631,GE,tamil_nadu,chennai_north,17,2,2019,4,12,cdhanraj,M,IND,1116,,955545,1487681,64.23,0.12,46,0.0,10809,Graduate Professional
5632,5632,GE,tamil_nadu,chennai_north,17,2,2019,4,13,vsaravanan,M,IND,1070,,955545,1487681,64.23,0.11,125,0.01,10809,Graduate Professional
5633,5633,GE,tamil_nadu,chennai_north,17,2,2019,4,14,mlravi,M,DMSK,945,,955545,1487681,64.23,0.1,45,0.0,2953,Post Graduate
5634,5634,GE,tamil_nadu,chennai_north,17,2,2019,4,15,jsebastin,M,SUCI(C),900,,955545,1487681,64.23,0.09,53,0.01,8082,10th Pass
5635,5635,GE,tamil_nadu,chennai_north,17,2,2019,4,16,nsatheeshkannan,M,IND,847,,955545,1487681,64.23,0.09,79,0.01,10809,Graduate Professional
5636,5636,GE,tamil_nadu,chennai_north,17,2,2019,4,17,lpraveenkumar,M,PPIS,768,,955545,1487681,64.23,0.08,5,0.0,6057,Post Graduate
5637,5637,GE,tamil_nadu,chennai_north,17,2,2019,4,18,agdamodharan,M,IND,763,,955545,1487681,64.23,0.08,84,0.01,10809,
5638,5638,GE,tamil_nadu,chennai_north,17,2,2019,4,19,kprabhakaran,M,MKat,679,SC,955545,1487681,64.23,0.07,64,0.01,5299,Post Graduate
5639,5639,GE,tamil_nadu,chennai_north,17,2,2019,4,20,rarulmurugan,M,IND,615,,955545,1487681,64.23,0.06,49,0.01,10809,
5640,5640,GE,tamil_nadu,chennai_north,17,2,2019,4,21,pmarimuthu,M,IND,566,,955545,1487681,64.23,0.06,11,0.0,10809,5th Pass
5641,5641,GE,tamil_nadu,chennai_north,17,2,2019,4,22,sprithviraj,M,IND,555,,955545,1487681,64.23,0.06,22,0.0,10809,12th Pass
5642,5642,GE,tamil_nadu,chennai_north,17,2,2019,4,23,lraj,M,IND,533,,955545,1487681,64.23,0.06,131,0.01,10809,Illiterate
